TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W23;CH061;Y80T84;M;P;9
2020-W23;CH061;Y85T89;T;P;16
2020-W23;CH061;Y85T89;F;P;8
2020-W23;CH061;Y85T89;M;P;8
2020-W23;CH061;Y_GE90;T;P;12
2020-W23;CH061;Y_GE90;F;P;9
2020-W23;CH061;Y_GE90;M;P;3
2020-W23;CH062;_T;T;P;11
2020-W23;CH062;_T;F;P;8
2020-W23;CH062;_T;M;P;3
2020-W23;CH062;Y75T79;T;P;2
2020-W23;CH062;Y75T79;F;P;1
2020-W23;CH062;Y75T79;M;P;1
2020-W23;CH062;Y85T89;T;P;1
2020-W23;CH062;Y85T89;F;P;1
2020-W23;CH062;Y_GE90;T;P;8
2020-W23;CH062;Y_GE90;F;P;6
2020-W23;CH062;Y_GE90;M;P;2
2020-W23;CH063;_T;T;P;25
2020-W23;CH063;_T;F;P;19
2020-W23;CH063;_T;M;P;6
2020-W23;CH063;Y0T4;T;P;1
2020-W23;CH063;Y0T4;M;P;1
2020-W23;CH063;Y30T34;T;P;1
2020-W23;CH063;Y30T34;F;P;1
2020-W23;CH063;Y35T39;T;P;1
2020-W23;CH063;Y35T39;F;P;1
2020-W23;CH063;Y65T69;T;P;1
2020-W23;CH063;Y65T69;F;P;1
2020-W23;CH063;Y70T74;T;P;2
2020-W23;CH063;Y70T74;F;P;1
2020-W23;CH063;Y70T74;M;P;1
2020-W23;CH063;Y75T79;T;P;1
2020-W23;CH063;Y75T79;F;P;1
2020-W23;CH063;Y80T84;T;P;2
2020-W23;CH063;Y80T84;F;P;1
2020-W23;CH063;Y80T84;M;P;1
2020-W23;CH063;Y85T89;T;P;10
2020-W23;CH063;Y85T89;F;P;7
2020-W23;CH063;Y85T89;M;P;3
2020-W23;CH063;Y_GE90;T;P;6
2020-W23;CH063;Y_GE90;F;P;6
2020-W23;CH064;_T;T;P;8
2020-W23;CH064;_T;F;P;3
2020-W23;CH064;_T;M;P;5
2020-W23;CH064;Y55T59;T;P;1
2020-W23;CH064;Y55T59;M;P;1
2020-W23;CH064;Y65T69;T;P;1
2020-W23;CH064;Y65T69;M;P;1
2020-W23;CH064;Y70T74;T;P;1
2020-W23;CH064;Y70T74;M;P;1
2020-W23;CH064;Y85T89;T;P;3
2020-W23;CH064;Y85T89;F;P;2
2020-W23;CH064;Y85T89;M;P;1
2020-W23;CH064;Y_GE90;T;P;2
2020-W23;CH064;Y_GE90;F;P;1
2020-W23;CH064;Y_GE90;M;P;1
2020-W23;CH065;_T;T;P;5
2020-W23;CH065;_T;F;P;3
2020-W23;CH065;_T;M;P;2
2020-W23;CH065;Y70T74;T;P;2
